method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,alpha,dgp
ElasticNet(a=0.1),0.08333333333333333,0.6666666666666666,0.044444444444444446,0.2,0.0034482758620689655,30,60,0,2.0,0.1,garch_factor
ElasticNet(a=0.1),0.0,0.0,0.0,0.2,0.0011494252873563218,30,60,1,2.0,0.1,garch_factor
ElasticNet(a=0.1),0.0,0.0,0.0,0.4,0.0022988505747126436,30,60,2,2.0,0.1,garch_factor
ElasticNet(a=0.1),0.0,0.0,0.0,0.2,0.004597701149425287,30,60,3,2.0,0.1,garch_factor
ElasticNet(a=0.1),0.08333333333333333,0.6666666666666666,0.044444444444444446,0.2,0.0034482758620689655,30,60,4,2.0,0.1,garch_factor
ElasticNet(a=0.5),0.08,0.4,0.044444444444444446,0.4,0.005747126436781609,30,60,0,2.0,0.5,garch_factor
ElasticNet(a=0.5),0.041666666666666664,0.3333333333333333,0.022222222222222223,0.2,0.0034482758620689655,30,60,1,2.0,0.5,garch_factor
ElasticNet(a=0.5),0.08333333333333333,0.6666666666666666,0.044444444444444446,0.2,0.0034482758620689655,30,60,2,2.0,0.5,garch_factor
ElasticNet(a=0.5),0.04081632653061224,0.25,0.022222222222222223,0.2,0.004597701149425287,30,60,3,2.0,0.5,garch_factor
ElasticNet(a=0.5),0.07692307692307693,0.2857142857142857,0.044444444444444446,0.4,0.008045977011494253,30,60,4,2.0,0.5,garch_factor
ElasticNet(a=0.9),0.0,0.0,0.0,0.0,0.0034482758620689655,30,60,0,2.0,0.9,garch_factor
ElasticNet(a=0.9),0.08,0.4,0.044444444444444446,0.0,0.005747126436781609,30,60,1,2.0,0.9,garch_factor
ElasticNet(a=0.9),0.12244897959183673,0.75,0.06666666666666667,0.2,0.004597701149425287,30,60,2,2.0,0.9,garch_factor
ElasticNet(a=0.9),0.04081632653061224,0.25,0.022222222222222223,0.2,0.004597701149425287,30,60,3,2.0,0.9,garch_factor
ElasticNet(a=0.9),0.0392156862745098,0.16666666666666666,0.022222222222222223,0.0,0.006896551724137931,30,60,4,2.0,0.9,garch_factor
LASSO (BIC),0.11320754716981132,0.375,0.06666666666666667,0.0,0.009195402298850575,30,60,0,2.0,1.0,garch_factor
LASSO (BIC),0.04081632653061224,0.25,0.022222222222222223,0.4,0.004597701149425287,30,60,1,2.0,1.0,garch_factor
LASSO (BIC),0.0,0.0,0.0,0.2,0.008045977011494253,30,60,2,2.0,1.0,garch_factor
LASSO (BIC),0.03389830508474576,0.07142857142857142,0.022222222222222223,0.2,0.016091954022988506,30,60,3,2.0,1.0,garch_factor
LASSO (BIC),0.0,0.0,0.0,0.4,0.006896551724137931,30,60,4,2.0,1.0,garch_factor
ElasticNet(a=0.1),0.0851063829787234,1.0,0.044444444444444446,0.6,0.0022988505747126436,30,120,0,4.0,0.1,garch_factor
ElasticNet(a=0.1),0.12,0.6,0.06666666666666667,0.0,0.005747126436781609,30,120,1,4.0,0.1,garch_factor
ElasticNet(a=0.1),0.0425531914893617,0.5,0.022222222222222223,0.4,0.0022988505747126436,30,120,2,4.0,0.1,garch_factor
ElasticNet(a=0.1),0.041666666666666664,0.3333333333333333,0.022222222222222223,0.0,0.0034482758620689655,30,120,3,4.0,0.1,garch_factor
ElasticNet(a=0.1),0.07692307692307693,0.2857142857142857,0.044444444444444446,0.4,0.008045977011494253,30,120,4,4.0,0.1,garch_factor
ElasticNet(a=0.5),0.07547169811320754,0.25,0.044444444444444446,0.0,0.009195402298850575,30,120,0,4.0,0.5,garch_factor
ElasticNet(a=0.5),0.1724137931034483,0.38461538461538464,0.1111111111111111,0.0,0.014942528735632184,30,120,1,4.0,0.5,garch_factor
ElasticNet(a=0.5),0.18867924528301888,0.625,0.1111111111111111,0.4,0.009195402298850575,30,120,2,4.0,0.5,garch_factor
ElasticNet(a=0.5),0.23076923076923078,0.8571428571428571,0.13333333333333333,0.2,0.008045977011494253,30,120,3,4.0,0.5,garch_factor
ElasticNet(a=0.5),0.0425531914893617,0.5,0.022222222222222223,0.2,0.0022988505747126436,30,120,4,4.0,0.5,garch_factor
ElasticNet(a=0.9),0.12244897959183673,0.75,0.06666666666666667,0.6,0.004597701149425287,30,120,0,4.0,0.9,garch_factor
ElasticNet(a=0.9),0.2909090909090909,0.8,0.17777777777777778,0.4,0.011494252873563218,30,120,1,4.0,0.9,garch_factor
ElasticNet(a=0.9),0.08,0.4,0.044444444444444446,0.0,0.005747126436781609,30,120,2,4.0,0.9,garch_factor
ElasticNet(a=0.9),0.23076923076923078,0.8571428571428571,0.13333333333333333,0.4,0.008045977011494253,30,120,3,4.0,0.9,garch_factor
ElasticNet(a=0.9),0.11538461538461539,0.42857142857142855,0.06666666666666667,0.4,0.008045977011494253,30,120,4,4.0,0.9,garch_factor
LASSO (BIC),0.29411764705882354,0.43478260869565216,0.2222222222222222,0.2,0.026436781609195402,30,120,0,4.0,1.0,garch_factor
LASSO (BIC),0.27586206896551724,0.6153846153846154,0.17777777777777778,0.2,0.014942528735632184,30,120,1,4.0,1.0,garch_factor
LASSO (BIC),0.26666666666666666,0.5333333333333333,0.17777777777777778,0.4,0.017241379310344827,30,120,2,4.0,1.0,garch_factor
LASSO (BIC),0.10714285714285714,0.2727272727272727,0.06666666666666667,0.2,0.01264367816091954,30,120,3,4.0,1.0,garch_factor
LASSO (BIC),0.0784313725490196,0.3333333333333333,0.044444444444444446,0.0,0.006896551724137931,30,120,4,4.0,1.0,garch_factor
ElasticNet(a=0.1),0.2962962962962963,0.8888888888888888,0.17777777777777778,0.0,0.010344827586206896,30,250,0,8.333333333333334,0.1,garch_factor
ElasticNet(a=0.1),0.3018867924528302,1.0,0.17777777777777778,0.2,0.009195402298850575,30,250,1,8.333333333333334,0.1,garch_factor
ElasticNet(a=0.1),0.3103448275862069,0.6923076923076923,0.2,0.4,0.014942528735632184,30,250,2,8.333333333333334,0.1,garch_factor
ElasticNet(a=0.1),0.3448275862068966,0.7692307692307693,0.2222222222222222,0.6,0.014942528735632184,30,250,3,8.333333333333334,0.1,garch_factor
ElasticNet(a=0.1),0.2222222222222222,0.6666666666666666,0.13333333333333333,0.0,0.010344827586206896,30,250,4,8.333333333333334,0.1,garch_factor
ElasticNet(a=0.5),0.3050847457627119,0.6428571428571429,0.2,0.2,0.016091954022988506,30,250,0,8.333333333333334,0.5,garch_factor
ElasticNet(a=0.5),0.45161290322580644,0.8235294117647058,0.3111111111111111,0.2,0.01954022988505747,30,250,1,8.333333333333334,0.5,garch_factor
ElasticNet(a=0.5),0.3448275862068966,0.7692307692307693,0.2222222222222222,0.2,0.014942528735632184,30,250,2,8.333333333333334,0.5,garch_factor
ElasticNet(a=0.5),0.5079365079365079,0.8888888888888888,0.35555555555555557,0.4,0.020689655172413793,30,250,3,8.333333333333334,0.5,garch_factor
ElasticNet(a=0.5),0.32786885245901637,0.625,0.2222222222222222,0.4,0.01839080459770115,30,250,4,8.333333333333334,0.5,garch_factor
ElasticNet(a=0.9),0.36666666666666664,0.7333333333333333,0.24444444444444444,0.6,0.017241379310344827,30,250,0,8.333333333333334,0.9,garch_factor
ElasticNet(a=0.9),0.4375,0.7368421052631579,0.3111111111111111,0.4,0.021839080459770115,30,250,1,8.333333333333334,0.9,garch_factor
ElasticNet(a=0.9),0.3018867924528302,1.0,0.17777777777777778,0.2,0.009195402298850575,30,250,2,8.333333333333334,0.9,garch_factor
ElasticNet(a=0.9),0.18181818181818182,0.5,0.1111111111111111,0.4,0.011494252873563218,30,250,3,8.333333333333334,0.9,garch_factor
ElasticNet(a=0.9),0.5161290322580645,0.9411764705882353,0.35555555555555557,0.2,0.01954022988505747,30,250,4,8.333333333333334,0.9,garch_factor
LASSO (BIC),0.3492063492063492,0.6111111111111112,0.24444444444444444,0.4,0.020689655172413793,30,250,0,8.333333333333334,1.0,garch_factor
LASSO (BIC),0.4307692307692308,0.7,0.3111111111111111,0.4,0.022988505747126436,30,250,1,8.333333333333334,1.0,garch_factor
LASSO (BIC),0.44776119402985076,0.6818181818181818,0.3333333333333333,0.2,0.02528735632183908,30,250,2,8.333333333333334,1.0,garch_factor
LASSO (BIC),0.46153846153846156,0.75,0.3333333333333333,0.6,0.022988505747126436,30,250,3,8.333333333333334,1.0,garch_factor
LASSO (BIC),0.4931506849315068,0.6428571428571429,0.4,0.4,0.03218390804597701,30,250,4,8.333333333333334,1.0,garch_factor
ElasticNet(a=0.1),0.5,0.4406779661016949,0.5777777777777777,0.8,0.067816091954023,30,500,0,16.666666666666668,0.1,garch_factor
ElasticNet(a=0.1),0.3262411347517731,0.23958333333333334,0.5111111111111111,0.4,0.1103448275862069,30,500,1,16.666666666666668,0.1,garch_factor
ElasticNet(a=0.1),0.36363636363636365,0.2653061224489796,0.5777777777777777,0.2,0.11264367816091954,30,500,2,16.666666666666668,0.1,garch_factor
ElasticNet(a=0.1),0.2716049382716049,0.3055555555555556,0.24444444444444444,0.2,0.041379310344827586,30,500,3,16.666666666666668,0.1,garch_factor
ElasticNet(a=0.1),0.4878048780487805,0.5405405405405406,0.4444444444444444,0.6,0.04252873563218391,30,500,4,16.666666666666668,0.1,garch_factor
ElasticNet(a=0.5),0.4507042253521127,0.6153846153846154,0.35555555555555557,0.6,0.029885057471264367,30,500,0,16.666666666666668,0.5,garch_factor
ElasticNet(a=0.5),0.5454545454545454,0.8571428571428571,0.4,0.4,0.02413793103448276,30,500,1,16.666666666666668,0.5,garch_factor
ElasticNet(a=0.5),0.45161290322580644,0.8235294117647058,0.3111111111111111,0.2,0.01954022988505747,30,500,2,16.666666666666668,0.5,garch_factor
ElasticNet(a=0.5),0.5757575757575758,0.9047619047619048,0.4222222222222222,0.6,0.02413793103448276,30,500,3,16.666666666666668,0.5,garch_factor
ElasticNet(a=0.5),0.3939393939393939,0.6190476190476191,0.28888888888888886,0.4,0.02413793103448276,30,500,4,16.666666666666668,0.5,garch_factor
ElasticNet(a=0.9),0.5384615384615384,0.6363636363636364,0.4666666666666667,0.4,0.03793103448275862,30,500,0,16.666666666666668,0.9,garch_factor
ElasticNet(a=0.9),0.547945205479452,0.7142857142857143,0.4444444444444444,0.2,0.03218390804597701,30,500,1,16.666666666666668,0.9,garch_factor
ElasticNet(a=0.9),0.5,0.6666666666666666,0.4,0.2,0.03103448275862069,30,500,2,16.666666666666668,0.9,garch_factor
ElasticNet(a=0.9),0.5588235294117647,0.8260869565217391,0.4222222222222222,0.2,0.026436781609195402,30,500,3,16.666666666666668,0.9,garch_factor
ElasticNet(a=0.9),0.7012987012987013,0.84375,0.6,0.8,0.0367816091954023,30,500,4,16.666666666666668,0.9,garch_factor
LASSO (BIC),0.6052631578947368,0.7419354838709677,0.5111111111111111,0.4,0.035632183908045977,30,500,0,16.666666666666668,1.0,garch_factor
LASSO (BIC),0.4146341463414634,0.4594594594594595,0.37777777777777777,0.6,0.04252873563218391,30,500,1,16.666666666666668,1.0,garch_factor
LASSO (BIC),0.47761194029850745,0.7272727272727273,0.35555555555555557,0.6,0.02528735632183908,30,500,2,16.666666666666668,1.0,garch_factor
LASSO (BIC),0.5277777777777778,0.7037037037037037,0.4222222222222222,0.4,0.03103448275862069,30,500,3,16.666666666666668,1.0,garch_factor
LASSO (BIC),0.6933333333333334,0.8666666666666667,0.5777777777777777,0.4,0.034482758620689655,30,500,4,16.666666666666668,1.0,garch_factor
ElasticNet(a=0.1),0.045454545454545456,0.42857142857142855,0.024,0.0,0.002857142857142857,50,60,0,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.019230769230769232,0.024096385542168676,0.016,0.2,0.03387755102040816,50,60,1,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.08196721311475409,0.08403361344537816,0.08,0.2,0.04857142857142857,50,60,2,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.05825242718446602,0.07407407407407407,0.048,0.2,0.03306122448979592,50,60,3,1.2,0.1,garch_factor
ElasticNet(a=0.1),0.0736196319018405,0.15789473684210525,0.048,0.2,0.015510204081632653,50,60,4,1.2,0.1,garch_factor
ElasticNet(a=0.5),0.08247422680412371,0.11594202898550725,0.064,0.0,0.02816326530612245,50,60,0,1.2,0.5,garch_factor
ElasticNet(a=0.5),0.04878048780487805,0.10256410256410256,0.032,0.4,0.015918367346938776,50,60,1,1.2,0.5,garch_factor
ElasticNet(a=0.5),0.07741935483870968,0.2,0.048,0.4,0.012244897959183673,50,60,2,1.2,0.5,garch_factor
ElasticNet(a=0.5),0.0,0.0,0.0,0.0,0.0024489795918367346,50,60,3,1.2,0.5,garch_factor
ElasticNet(a=0.5),0.07216494845360824,0.10144927536231885,0.056,0.6,0.02816326530612245,50,60,4,1.2,0.5,garch_factor
ElasticNet(a=0.9),0.030534351145038167,0.3333333333333333,0.016,0.0,0.0024489795918367346,50,60,0,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.05925925925925926,0.4,0.032,0.2,0.004081632653061225,50,60,1,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.04477611940298507,0.3333333333333333,0.024,0.4,0.003673469387755102,50,60,2,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.031007751937984496,0.5,0.016,0.2,0.0016326530612244899,50,60,3,1.2,0.9,garch_factor
ElasticNet(a=0.9),0.03225806451612903,0.04918032786885246,0.024,0.2,0.02489795918367347,50,60,4,1.2,0.9,garch_factor
LASSO (BIC),0.03296703296703297,0.05263157894736842,0.024,0.2,0.02326530612244898,50,60,0,1.2,1.0,garch_factor
LASSO (BIC),0.08866995073891626,0.11538461538461539,0.072,0.0,0.03183673469387755,50,60,1,1.2,1.0,garch_factor
LASSO (BIC),0.10596026490066225,0.3076923076923077,0.064,0.4,0.010612244897959184,50,60,2,1.2,1.0,garch_factor
LASSO (BIC),0.09523809523809523,0.3181818181818182,0.056,0.0,0.008979591836734694,50,60,3,1.2,1.0,garch_factor
LASSO (BIC),0.05555555555555555,0.21052631578947367,0.032,0.0,0.007755102040816327,50,60,4,1.2,1.0,garch_factor
ElasticNet(a=0.1),0.145985401459854,0.8333333333333334,0.08,0.0,0.004897959183673469,50,120,0,2.4,0.1,garch_factor
ElasticNet(a=0.1),0.06015037593984962,0.5,0.032,0.0,0.0032653061224489797,50,120,1,2.4,0.1,garch_factor
ElasticNet(a=0.1),0.18571428571428572,0.8666666666666667,0.104,0.2,0.006122448979591836,50,120,2,2.4,0.1,garch_factor
ElasticNet(a=0.1),0.08955223880597014,0.6666666666666666,0.048,0.0,0.003673469387755102,50,120,3,2.4,0.1,garch_factor
ElasticNet(a=0.1),0.1,0.4666666666666667,0.056,0.0,0.006122448979591836,50,120,4,2.4,0.1,garch_factor
ElasticNet(a=0.5),0.11851851851851852,0.8,0.064,0.0,0.004081632653061225,50,120,0,2.4,0.5,garch_factor
ElasticNet(a=0.5),0.16551724137931034,0.6,0.096,0.0,0.00816326530612245,50,120,1,2.4,0.5,garch_factor
ElasticNet(a=0.5),0.11678832116788321,0.6666666666666666,0.064,0.2,0.004897959183673469,50,120,2,2.4,0.5,garch_factor
ElasticNet(a=0.5),0.12949640287769784,0.6428571428571429,0.072,0.0,0.005714285714285714,50,120,3,2.4,0.5,garch_factor
ElasticNet(a=0.5),0.15714285714285714,0.7333333333333333,0.088,0.0,0.006122448979591836,50,120,4,2.4,0.5,garch_factor
ElasticNet(a=0.9),0.07575757575757576,0.7142857142857143,0.04,0.4,0.002857142857142857,50,120,0,2.4,0.9,garch_factor
ElasticNet(a=0.9),0.1323529411764706,0.8181818181818182,0.072,0.2,0.004489795918367347,50,120,1,2.4,0.9,garch_factor
ElasticNet(a=0.9),0.14084507042253522,0.5882352941176471,0.08,0.2,0.0069387755102040816,50,120,2,2.4,0.9,garch_factor
ElasticNet(a=0.9),0.20833333333333334,0.7894736842105263,0.12,0.0,0.007755102040816327,50,120,3,2.4,0.9,garch_factor
ElasticNet(a=0.9),0.17567567567567569,0.5652173913043478,0.104,0.0,0.009387755102040816,50,120,4,2.4,0.9,garch_factor
