method,f1,precision,recall,hub_recovery,density_pred,N,T,trial,T_N_ratio,dgp
LASSO-TE,0.07692307692307693,0.2857142857142857,0.044444444444444446,0.0,0.008045977011494253,30,60,0,2.0,gaussian
OLS-TE,0.19148936170212766,0.1836734693877551,0.2,0.4,0.05632183908045977,30,60,0,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.4,0.0022988505747126436,30,60,1,2.0,gaussian
OLS-TE,0.11764705882352941,0.10526315789473684,0.13333333333333333,0.2,0.06551724137931035,30,60,1,2.0,gaussian
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.4,0.008045977011494253,30,60,2,2.0,gaussian
OLS-TE,0.08791208791208792,0.08695652173913043,0.08888888888888889,0.2,0.052873563218390804,30,60,2,2.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.4,0.004597701149425287,30,60,3,2.0,gaussian
OLS-TE,0.16666666666666666,0.1794871794871795,0.15555555555555556,0.4,0.04482758620689655,30,60,3,2.0,gaussian
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.2,0.008045977011494253,30,60,4,2.0,gaussian
OLS-TE,0.06382978723404255,0.061224489795918366,0.06666666666666667,0.2,0.05632183908045977,30,60,4,2.0,gaussian
LASSO-TE,0.06451612903225806,0.11764705882352941,0.044444444444444446,0.2,0.01954022988505747,30,60,0,2.0,garch_only
OLS-TE,0.14705882352941177,0.10989010989010989,0.2222222222222222,0.0,0.10459770114942529,30,60,0,2.0,garch_only
LASSO-TE,0.1111111111111111,0.3333333333333333,0.06666666666666667,0.2,0.010344827586206896,30,60,1,2.0,garch_only
OLS-TE,0.16363636363636364,0.13846153846153847,0.2,0.2,0.07471264367816093,30,60,1,2.0,garch_only
LASSO-TE,0.07272727272727272,0.2,0.044444444444444446,0.2,0.011494252873563218,30,60,2,2.0,garch_only
OLS-TE,0.10714285714285714,0.08955223880597014,0.13333333333333333,0.2,0.07701149425287357,30,60,2,2.0,garch_only
LASSO-TE,0.14285714285714285,0.36363636363636365,0.08888888888888889,0.2,0.01264367816091954,30,60,3,2.0,garch_only
OLS-TE,0.15503875968992248,0.11904761904761904,0.2222222222222222,0.2,0.09655172413793103,30,60,3,2.0,garch_only
LASSO-TE,0.23333333333333334,0.4666666666666667,0.15555555555555556,0.2,0.017241379310344827,30,60,4,2.0,garch_only
OLS-TE,0.2542372881355932,0.2054794520547945,0.3333333333333333,0.2,0.0839080459770115,30,60,4,2.0,garch_only
LASSO-TE,0.03389830508474576,0.07142857142857142,0.022222222222222223,0.2,0.016091954022988506,30,60,0,2.0,factor_only
OLS-TE,0.1553398058252427,0.13793103448275862,0.17777777777777778,0.2,0.06666666666666667,30,60,0,2.0,factor_only
LASSO-TE,0.0,0.0,0.0,0.4,0.0034482758620689655,30,60,1,2.0,factor_only
OLS-TE,0.10526315789473684,0.1,0.1111111111111111,0.2,0.05747126436781609,30,60,1,2.0,factor_only
LASSO-TE,0.0,0.0,0.0,0.4,0.004597701149425287,30,60,2,2.0,factor_only
OLS-TE,0.15730337078651685,0.1590909090909091,0.15555555555555556,0.2,0.05057471264367816,30,60,2,2.0,factor_only
LASSO-TE,0.03773584905660377,0.125,0.022222222222222223,0.0,0.009195402298850575,30,60,3,2.0,factor_only
OLS-TE,0.1487603305785124,0.11842105263157894,0.2,0.2,0.08735632183908046,30,60,3,2.0,factor_only
LASSO-TE,0.0392156862745098,0.16666666666666666,0.022222222222222223,0.0,0.006896551724137931,30,60,4,2.0,factor_only
OLS-TE,0.09345794392523364,0.08064516129032258,0.1111111111111111,0.2,0.07126436781609195,30,60,4,2.0,factor_only
LASSO-TE,0.038461538461538464,0.14285714285714285,0.022222222222222223,0.0,0.008045977011494253,30,60,0,2.0,garch_factor
OLS-TE,0.06837606837606838,0.05555555555555555,0.08888888888888889,0.2,0.08275862068965517,30,60,0,2.0,garch_factor
LASSO-TE,0.1111111111111111,0.3333333333333333,0.06666666666666667,0.0,0.010344827586206896,30,60,1,2.0,garch_factor
OLS-TE,0.17307692307692307,0.15254237288135594,0.2,0.0,0.067816091954023,30,60,1,2.0,garch_factor
LASSO-TE,0.07547169811320754,0.25,0.044444444444444446,0.2,0.009195402298850575,30,60,2,2.0,garch_factor
OLS-TE,0.19801980198019803,0.17857142857142858,0.2222222222222222,0.2,0.06436781609195402,30,60,2,2.0,garch_factor
LASSO-TE,0.12903225806451613,0.23529411764705882,0.08888888888888889,0.4,0.01954022988505747,30,60,3,2.0,garch_factor
OLS-TE,0.17857142857142858,0.14925373134328357,0.2222222222222222,0.4,0.07701149425287357,30,60,3,2.0,garch_factor
LASSO-TE,0.11320754716981132,0.375,0.06666666666666667,0.0,0.009195402298850575,30,60,4,2.0,garch_factor
OLS-TE,0.17307692307692307,0.15254237288135594,0.2,0.4,0.067816091954023,30,60,4,2.0,garch_factor
LASSO-TE,0.16,0.8,0.08888888888888889,0.2,0.005747126436781609,30,120,0,4.0,gaussian
OLS-TE,0.26,0.23636363636363636,0.28888888888888886,0.2,0.06321839080459771,30,120,0,4.0,gaussian
LASSO-TE,0.0784313725490196,0.3333333333333333,0.044444444444444446,0.0,0.006896551724137931,30,120,1,4.0,gaussian
OLS-TE,0.21359223300970873,0.1896551724137931,0.24444444444444444,0.2,0.06666666666666667,30,120,1,4.0,gaussian
LASSO-TE,0.12244897959183673,0.75,0.06666666666666667,0.4,0.004597701149425287,30,120,2,4.0,gaussian
OLS-TE,0.1941747572815534,0.1724137931034483,0.2222222222222222,0.2,0.06666666666666667,30,120,2,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.2,0.0022988505747126436,30,120,3,4.0,gaussian
OLS-TE,0.10989010989010989,0.10869565217391304,0.1111111111111111,0.2,0.052873563218390804,30,120,3,4.0,gaussian
LASSO-TE,0.0,0.0,0.0,0.2,0.0034482758620689655,30,120,4,4.0,gaussian
OLS-TE,0.18556701030927836,0.17307692307692307,0.2,0.2,0.059770114942528735,30,120,4,4.0,gaussian
LASSO-TE,0.14814814814814814,0.4444444444444444,0.08888888888888889,0.2,0.010344827586206896,30,120,0,4.0,garch_only
OLS-TE,0.1774193548387097,0.13924050632911392,0.24444444444444444,0.4,0.09080459770114943,30,120,0,4.0,garch_only
LASSO-TE,0.36923076923076925,0.6,0.26666666666666666,0.2,0.022988505747126436,30,120,1,4.0,garch_only
OLS-TE,0.2753623188405797,0.20430107526881722,0.4222222222222222,0.0,0.10689655172413794,30,120,1,4.0,garch_only
LASSO-TE,0.1724137931034483,0.38461538461538464,0.1111111111111111,0.2,0.014942528735632184,30,120,2,4.0,garch_only
OLS-TE,0.17054263565891473,0.13095238095238096,0.24444444444444444,0.2,0.09655172413793103,30,120,2,4.0,garch_only
LASSO-TE,0.2413793103448276,0.5384615384615384,0.15555555555555556,0.4,0.014942528735632184,30,120,3,4.0,garch_only
OLS-TE,0.2191780821917808,0.15841584158415842,0.35555555555555557,0.2,0.11609195402298851,30,120,3,4.0,garch_only
LASSO-TE,0.19607843137254902,0.8333333333333334,0.1111111111111111,0.2,0.006896551724137931,30,120,4,4.0,garch_only
OLS-TE,0.171875,0.13253012048192772,0.24444444444444444,0.0,0.09540229885057472,30,120,4,4.0,garch_only
LASSO-TE,0.11764705882352941,0.5,0.06666666666666667,0.2,0.006896551724137931,30,120,0,4.0,factor_only
OLS-TE,0.1834862385321101,0.15625,0.2222222222222222,0.2,0.0735632183908046,30,120,0,4.0,factor_only
LASSO-TE,0.18867924528301888,0.625,0.1111111111111111,0.2,0.009195402298850575,30,120,1,4.0,factor_only
OLS-TE,0.16494845360824742,0.15384615384615385,0.17777777777777778,0.0,0.059770114942528735,30,120,1,4.0,factor_only
LASSO-TE,0.043478260869565216,1.0,0.022222222222222223,0.2,0.0011494252873563218,30,120,2,4.0,factor_only
OLS-TE,0.2391304347826087,0.23404255319148937,0.24444444444444444,0.6,0.054022988505747126,30,120,2,4.0,factor_only
LASSO-TE,0.08333333333333333,0.6666666666666666,0.044444444444444446,0.6,0.0034482758620689655,30,120,3,4.0,factor_only
OLS-TE,0.23076923076923078,0.17647058823529413,0.3333333333333333,0.8,0.09770114942528736,30,120,3,4.0,factor_only
LASSO-TE,0.0,0.0,0.0,0.2,0.004597701149425287,30,120,4,4.0,factor_only
OLS-TE,0.0970873786407767,0.08620689655172414,0.1111111111111111,0.2,0.06666666666666667,30,120,4,4.0,factor_only
LASSO-TE,0.23076923076923078,0.8571428571428571,0.13333333333333333,0.6,0.008045977011494253,30,120,0,4.0,garch_factor
OLS-TE,0.26785714285714285,0.22388059701492538,0.3333333333333333,0.2,0.07701149425287357,30,120,0,4.0,garch_factor
LASSO-TE,0.29508196721311475,0.5625,0.2,0.6,0.01839080459770115,30,120,1,4.0,garch_factor
OLS-TE,0.2542372881355932,0.2054794520547945,0.3333333333333333,0.4,0.0839080459770115,30,120,1,4.0,garch_factor
LASSO-TE,0.07547169811320754,0.25,0.044444444444444446,0.2,0.009195402298850575,30,120,2,4.0,garch_factor
OLS-TE,0.183206106870229,0.13953488372093023,0.26666666666666666,0.2,0.09885057471264368,30,120,2,4.0,garch_factor
LASSO-TE,0.1509433962264151,0.5,0.08888888888888889,0.6,0.009195402298850575,30,120,3,4.0,garch_factor
OLS-TE,0.22807017543859648,0.18840579710144928,0.28888888888888886,0.6,0.07931034482758621,30,120,3,4.0,garch_factor
LASSO-TE,0.21428571428571427,0.5454545454545454,0.13333333333333333,0.2,0.01264367816091954,30,120,4,4.0,garch_factor
OLS-TE,0.22916666666666666,0.21568627450980393,0.24444444444444444,0.2,0.05862068965517241,30,120,4,4.0,garch_factor
LASSO-TE,0.04081632653061224,0.25,0.022222222222222223,0.2,0.004597701149425287,30,250,0,8.333333333333334,gaussian
OLS-TE,0.24242424242424243,0.2222222222222222,0.26666666666666666,0.4,0.06206896551724138,30,250,0,8.333333333333334,gaussian
LASSO-TE,0.125,1.0,0.06666666666666667,0.0,0.0034482758620689655,30,250,1,8.333333333333334,gaussian
OLS-TE,0.29473684210526313,0.28,0.3111111111111111,0.0,0.05747126436781609,30,250,1,8.333333333333334,gaussian
LASSO-TE,0.16326530612244897,1.0,0.08888888888888889,0.2,0.004597701149425287,30,250,2,8.333333333333334,gaussian
OLS-TE,0.25806451612903225,0.25,0.26666666666666666,0.2,0.05517241379310345,30,250,2,8.333333333333334,gaussian
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.0,0.006896551724137931,30,250,3,8.333333333333334,gaussian
OLS-TE,0.3829787234042553,0.3673469387755102,0.4,0.2,0.05632183908045977,30,250,3,8.333333333333334,gaussian
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.8,0.006896551724137931,30,250,4,8.333333333333334,gaussian
OLS-TE,0.30612244897959184,0.2830188679245283,0.3333333333333333,0.2,0.06091954022988506,30,250,4,8.333333333333334,gaussian
LASSO-TE,0.24242424242424243,0.38095238095238093,0.17777777777777778,0.4,0.02413793103448276,30,250,0,8.333333333333334,garch_only
OLS-TE,0.2236842105263158,0.1588785046728972,0.37777777777777777,0.4,0.12298850574712644,30,250,0,8.333333333333334,garch_only
LASSO-TE,0.5633802816901409,0.7692307692307693,0.4444444444444444,0.6,0.029885057471264367,30,250,1,8.333333333333334,garch_only
OLS-TE,0.2937853107344633,0.19696969696969696,0.5777777777777777,0.4,0.15172413793103448,30,250,1,8.333333333333334,garch_only
LASSO-TE,0.3235294117647059,0.4782608695652174,0.24444444444444444,0.4,0.026436781609195402,30,250,2,8.333333333333334,garch_only
OLS-TE,0.27672955974842767,0.19298245614035087,0.4888888888888889,0.2,0.1310344827586207,30,250,2,8.333333333333334,garch_only
LASSO-TE,0.3283582089552239,0.5,0.24444444444444444,0.4,0.02528735632183908,30,250,3,8.333333333333334,garch_only
OLS-TE,0.1839080459770115,0.12403100775193798,0.35555555555555557,0.0,0.1482758620689655,30,250,3,8.333333333333334,garch_only
LASSO-TE,0.4594594594594595,0.5862068965517241,0.37777777777777777,0.6,0.03333333333333333,30,250,4,8.333333333333334,garch_only
OLS-TE,0.2681564245810056,0.1791044776119403,0.5333333333333333,0.2,0.15402298850574714,30,250,4,8.333333333333334,garch_only
LASSO-TE,0.1568627450980392,0.6666666666666666,0.08888888888888889,0.2,0.006896551724137931,30,250,0,8.333333333333334,factor_only
OLS-TE,0.19047619047619047,0.13725490196078433,0.3111111111111111,0.2,0.11724137931034483,30,250,0,8.333333333333334,factor_only
LASSO-TE,0.10909090909090909,0.3,0.06666666666666667,0.4,0.011494252873563218,30,250,1,8.333333333333334,factor_only
OLS-TE,0.14492753623188406,0.09259259259259259,0.3333333333333333,0.4,0.18620689655172415,30,250,1,8.333333333333334,factor_only
LASSO-TE,0.11764705882352941,0.5,0.06666666666666667,0.2,0.006896551724137931,30,250,2,8.333333333333334,factor_only
OLS-TE,0.2375,0.16521739130434782,0.4222222222222222,0.2,0.13218390804597702,30,250,2,8.333333333333334,factor_only
LASSO-TE,0.07692307692307693,0.2857142857142857,0.044444444444444446,0.4,0.008045977011494253,30,250,3,8.333333333333334,factor_only
OLS-TE,0.15827338129496402,0.11702127659574468,0.24444444444444444,0.4,0.10804597701149425,30,250,3,8.333333333333334,factor_only
LASSO-TE,0.20689655172413793,0.46153846153846156,0.13333333333333333,0.4,0.014942528735632184,30,250,4,8.333333333333334,factor_only
OLS-TE,0.23232323232323232,0.1503267973856209,0.5111111111111111,0.4,0.17586206896551723,30,250,4,8.333333333333334,factor_only
LASSO-TE,0.23728813559322035,0.5,0.15555555555555556,0.0,0.016091954022988506,30,250,0,8.333333333333334,garch_factor
OLS-TE,0.24060150375939848,0.18181818181818182,0.35555555555555557,0.2,0.10114942528735632,30,250,0,8.333333333333334,garch_factor
LASSO-TE,0.3333333333333333,0.4444444444444444,0.26666666666666666,0.6,0.03103448275862069,30,250,1,8.333333333333334,garch_factor
OLS-TE,0.2839506172839506,0.19658119658119658,0.5111111111111111,0.4,0.13448275862068965,30,250,1,8.333333333333334,garch_factor
LASSO-TE,0.34285714285714286,0.48,0.26666666666666666,0.2,0.028735632183908046,30,250,2,8.333333333333334,garch_factor
OLS-TE,0.2658959537572254,0.1796875,0.5111111111111111,0.4,0.1471264367816092,30,250,2,8.333333333333334,garch_factor
LASSO-TE,0.34375,0.5789473684210527,0.24444444444444444,0.6,0.021839080459770115,30,250,3,8.333333333333334,garch_factor
OLS-TE,0.23076923076923078,0.16216216216216217,0.4,0.2,0.12758620689655173,30,250,3,8.333333333333334,garch_factor
LASSO-TE,0.4383561643835616,0.5714285714285714,0.35555555555555557,0.0,0.03218390804597701,30,250,4,8.333333333333334,garch_factor
OLS-TE,0.24043715846994534,0.15942028985507245,0.4888888888888889,0.2,0.15862068965517243,30,250,4,8.333333333333334,garch_factor
LASSO-TE,0.2962962962962963,0.8888888888888888,0.17777777777777778,0.4,0.010344827586206896,30,500,0,16.666666666666668,gaussian
OLS-TE,0.4423076923076923,0.3898305084745763,0.5111111111111111,0.4,0.067816091954023,30,500,0,16.666666666666668,gaussian
LASSO-TE,0.3333333333333333,1.0,0.2,0.6,0.010344827586206896,30,500,1,16.666666666666668,gaussian
OLS-TE,0.4444444444444444,0.3611111111111111,0.5777777777777777,0.4,0.08275862068965517,30,500,1,16.666666666666668,gaussian
LASSO-TE,0.38596491228070173,0.9166666666666666,0.24444444444444444,0.6,0.013793103448275862,30,500,2,16.666666666666668,gaussian
OLS-TE,0.5132743362831859,0.4264705882352941,0.6444444444444445,0.8,0.07816091954022988,30,500,2,16.666666666666668,gaussian
LASSO-TE,0.2692307692307692,1.0,0.15555555555555556,0.2,0.008045977011494253,30,500,3,16.666666666666668,gaussian
OLS-TE,0.45714285714285713,0.4,0.5333333333333333,0.4,0.06896551724137931,30,500,3,16.666666666666668,gaussian
LASSO-TE,0.15384615384615385,0.5714285714285714,0.08888888888888889,0.2,0.008045977011494253,30,500,4,16.666666666666668,gaussian
OLS-TE,0.42592592592592593,0.36507936507936506,0.5111111111111111,0.0,0.07241379310344828,30,500,4,16.666666666666668,gaussian
LASSO-TE,0.5185185185185185,0.5833333333333334,0.4666666666666667,0.6,0.041379310344827586,30,500,0,16.666666666666668,garch_only
OLS-TE,0.24369747899159663,0.15025906735751296,0.6444444444444445,0.0,0.2218390804597701,30,500,0,16.666666666666668,garch_only
LASSO-TE,0.5822784810126582,0.6764705882352942,0.5111111111111111,0.4,0.03908045977011494,30,500,1,16.666666666666668,garch_only
OLS-TE,0.29333333333333333,0.18333333333333332,0.7333333333333333,0.2,0.20689655172413793,30,500,1,16.666666666666668,garch_only
LASSO-TE,0.39436619718309857,0.5384615384615384,0.3111111111111111,0.4,0.029885057471264367,30,500,2,16.666666666666668,garch_only
OLS-TE,0.27906976744186046,0.1889763779527559,0.5333333333333333,0.0,0.14597701149425288,30,500,2,16.666666666666668,garch_only
LASSO-TE,0.5945945945945946,0.7586206896551724,0.4888888888888889,0.6,0.03333333333333333,30,500,3,16.666666666666668,garch_only
OLS-TE,0.3236994219653179,0.21875,0.6222222222222222,0.4,0.1471264367816092,30,500,3,16.666666666666668,garch_only
LASSO-TE,0.4864864864864865,0.6206896551724138,0.4,0.4,0.03333333333333333,30,500,4,16.666666666666668,garch_only
OLS-TE,0.3023255813953488,0.2047244094488189,0.5777777777777777,0.2,0.14597701149425288,30,500,4,16.666666666666668,garch_only
LASSO-TE,0.2545454545454545,0.7,0.15555555555555556,0.4,0.011494252873563218,30,500,0,16.666666666666668,factor_only
OLS-TE,0.20212765957446807,0.13286713286713286,0.4222222222222222,0.0,0.16436781609195403,30,500,0,16.666666666666668,factor_only
LASSO-TE,0.07547169811320754,0.25,0.044444444444444446,0.0,0.009195402298850575,30,500,1,16.666666666666668,factor_only
OLS-TE,0.2857142857142857,0.19827586206896552,0.5111111111111111,0.4,0.13333333333333333,30,500,1,16.666666666666668,factor_only
LASSO-TE,0.21052631578947367,0.5,0.13333333333333333,0.4,0.013793103448275862,30,500,2,16.666666666666668,factor_only
OLS-TE,0.2376237623762376,0.15286624203821655,0.5333333333333333,0.4,0.18045977011494252,30,500,2,16.666666666666668,factor_only
