method,f1,precision,recall,density_true,density_pred,N,T,trial,T_N_ratio
OLS-TE,0.20392156862745098,0.2,0.208,0.05102040816326531,0.053061224489795916,50,120,7,2.4
LASSO-TE,0.05970149253731343,0.4444444444444444,0.032,0.05102040816326531,0.003673469387755102,50,120,8,2.4
OLS-TE,0.14285714285714285,0.1347517730496454,0.152,0.05102040816326531,0.05755102040816327,50,120,8,2.4
LASSO-TE,0.06060606060606061,0.5714285714285714,0.032,0.05102040816326531,0.002857142857142857,50,120,9,2.4
OLS-TE,0.1774193548387097,0.17886178861788618,0.176,0.05102040816326531,0.05020408163265306,50,120,9,2.4
LASSO-TE,0.145985401459854,0.8333333333333334,0.08,0.05102040816326531,0.004897959183673469,50,250,0,5.0
OLS-TE,0.32867132867132864,0.2919254658385093,0.376,0.05102040816326531,0.06571428571428571,50,250,0,5.0
LASSO-TE,0.21428571428571427,1.0,0.12,0.05102040816326531,0.006122448979591836,50,250,1,5.0
OLS-TE,0.34782608695652173,0.31788079470198677,0.384,0.05102040816326531,0.061632653061224486,50,250,1,5.0
LASSO-TE,0.1388888888888889,0.5263157894736842,0.08,0.05102040816326531,0.007755102040816327,50,250,2,5.0
OLS-TE,0.2727272727272727,0.2422360248447205,0.312,0.05102040816326531,0.06571428571428571,50,250,2,5.0
LASSO-TE,0.07462686567164178,0.5555555555555556,0.04,0.05102040816326531,0.003673469387755102,50,250,3,5.0
OLS-TE,0.31007751937984496,0.3007518796992481,0.32,0.05102040816326531,0.054285714285714284,50,250,3,5.0
LASSO-TE,0.04580152671755725,0.5,0.024,0.05102040816326531,0.0024489795918367346,50,250,4,5.0
OLS-TE,0.3333333333333333,0.29936305732484075,0.376,0.05102040816326531,0.06408163265306123,50,250,4,5.0
LASSO-TE,0.12949640287769784,0.6428571428571429,0.072,0.05102040816326531,0.005714285714285714,50,250,5,5.0
OLS-TE,0.3391003460207612,0.29878048780487804,0.392,0.05102040816326531,0.06693877551020408,50,250,5,5.0
LASSO-TE,0.10526315789473684,0.875,0.056,0.05102040816326531,0.0032653061224489797,50,250,6,5.0
OLS-TE,0.33003300330033003,0.2808988764044944,0.4,0.05102040816326531,0.07265306122448979,50,250,6,5.0
LASSO-TE,0.11594202898550725,0.6153846153846154,0.064,0.05102040816326531,0.005306122448979592,50,250,7,5.0
OLS-TE,0.30985915492957744,0.27672955974842767,0.352,0.05102040816326531,0.06489795918367347,50,250,7,5.0
LASSO-TE,0.10218978102189781,0.5833333333333334,0.056,0.05102040816326531,0.004897959183673469,50,250,8,5.0
OLS-TE,0.2773722627737226,0.2550335570469799,0.304,0.05102040816326531,0.060816326530612246,50,250,8,5.0
LASSO-TE,0.1506849315068493,0.5238095238095238,0.088,0.05102040816326531,0.008571428571428572,50,250,9,5.0
OLS-TE,0.30434782608695654,0.2781456953642384,0.336,0.05102040816326531,0.061632653061224486,50,250,9,5.0
LASSO-TE,0.2550335570469799,0.7916666666666666,0.152,0.05102040816326531,0.009795918367346938,50,500,0,10.0
OLS-TE,0.45222929936305734,0.37566137566137564,0.568,0.05102040816326531,0.07714285714285714,50,500,0,10.0
LASSO-TE,0.3312883435582822,0.7105263157894737,0.216,0.05102040816326531,0.015510204081632653,50,500,1,10.0
OLS-TE,0.4984423676012461,0.40816326530612246,0.64,0.05102040816326531,0.08,50,500,1,10.0
LASSO-TE,0.33962264150943394,0.7941176470588235,0.216,0.05102040816326531,0.013877551020408163,50,500,2,10.0
OLS-TE,0.5233644859813084,0.42857142857142855,0.672,0.05102040816326531,0.08,50,500,2,10.0
LASSO-TE,0.24836601307189543,0.6785714285714286,0.152,0.05102040816326531,0.011428571428571429,50,500,3,10.0
OLS-TE,0.44805194805194803,0.3770491803278688,0.552,0.05102040816326531,0.0746938775510204,50,500,3,10.0
LASSO-TE,0.3625,0.8285714285714286,0.232,0.05102040816326531,0.014285714285714285,50,500,4,10.0
OLS-TE,0.4721311475409836,0.4,0.576,0.05102040816326531,0.07346938775510205,50,500,4,10.0
LASSO-TE,0.3137254901960784,0.8571428571428571,0.192,0.05102040816326531,0.011428571428571429,50,500,5,10.0
OLS-TE,0.4413793103448276,0.3878787878787879,0.512,0.05102040816326531,0.0673469387755102,50,500,5,10.0
LASSO-TE,0.2112676056338028,0.8823529411764706,0.12,0.05102040816326531,0.0069387755102040816,50,500,6,10.0
OLS-TE,0.4527027027027027,0.391812865497076,0.536,0.05102040816326531,0.06979591836734694,50,500,6,10.0
LASSO-TE,0.3137254901960784,0.8571428571428571,0.192,0.05102040816326531,0.011428571428571429,50,500,7,10.0
OLS-TE,0.49382716049382713,0.4020100502512563,0.64,0.05102040816326531,0.08122448979591837,50,500,7,10.0
LASSO-TE,0.375,0.8571428571428571,0.24,0.05102040816326531,0.014285714285714285,50,500,8,10.0
OLS-TE,0.4695121951219512,0.3793103448275862,0.616,0.05102040816326531,0.08285714285714285,50,500,8,10.0
LASSO-TE,0.2913907284768212,0.8461538461538461,0.176,0.05102040816326531,0.010612244897959184,50,500,9,10.0
OLS-TE,0.4900662251655629,0.4180790960451977,0.592,0.05102040816326531,0.07224489795918368,50,500,9,10.0
LASSO-TE,0.011583011583011582,0.16666666666666666,0.006,0.050505050505050504,0.0018181818181818182,100,60,0,0.6
OLS-TE,0.09116809116809117,0.0867992766726944,0.096,0.050505050505050504,0.05585858585858586,100,60,0,0.6
LASSO-TE,0.007782101167315175,0.14285714285714285,0.004,0.050505050505050504,0.0014141414141414141,100,60,1,0.6
OLS-TE,0.1066925315227934,0.10357815442561205,0.11,0.050505050505050504,0.053636363636363635,100,60,1,0.6
LASSO-TE,0.011472275334608031,0.13043478260869565,0.006,0.050505050505050504,0.0023232323232323234,100,60,2,0.6
OLS-TE,0.11496531219028741,0.11394891944990176,0.116,0.050505050505050504,0.05141414141414141,100,60,2,0.6
LASSO-TE,0.007677543186180422,0.09523809523809523,0.004,0.050505050505050504,0.0021212121212121214,100,60,3,0.6
OLS-TE,0.11391223155929038,0.10683012259194395,0.122,0.050505050505050504,0.05767676767676767,100,60,3,0.6
LASSO-TE,0.011472275334608031,0.13043478260869565,0.006,0.050505050505050504,0.0023232323232323234,100,60,4,0.6
OLS-TE,0.12127236580516898,0.12055335968379446,0.122,0.050505050505050504,0.051111111111111114,100,60,4,0.6
LASSO-TE,0.011406844106463879,0.11538461538461539,0.006,0.050505050505050504,0.0026262626262626263,100,60,5,0.6
OLS-TE,0.1397129186602871,0.13394495412844037,0.146,0.050505050505050504,0.05505050505050505,100,60,5,0.6
LASSO-TE,0.019120458891013385,0.21739130434782608,0.01,0.050505050505050504,0.0023232323232323234,100,60,6,0.6
OLS-TE,0.1041879468845761,0.10647181628392484,0.102,0.050505050505050504,0.04838383838383838,100,60,6,0.6
LASSO-TE,0.02676864244741874,0.30434782608695654,0.014,0.050505050505050504,0.0023232323232323234,100,60,7,0.6
OLS-TE,0.12452830188679245,0.11785714285714285,0.132,0.050505050505050504,0.05656565656565657,100,60,7,0.6
LASSO-TE,0.011741682974559686,0.2727272727272727,0.006,0.050505050505050504,0.0011111111111111111,100,60,8,0.6
OLS-TE,0.11509433962264151,0.10892857142857143,0.122,0.050505050505050504,0.05656565656565657,100,60,8,0.6
LASSO-TE,0.022944550669216062,0.2608695652173913,0.012,0.050505050505050504,0.0023232323232323234,100,60,9,0.6
OLS-TE,0.11742777260018639,0.1099476439790576,0.126,0.050505050505050504,0.05787878787878788,100,60,9,0.6
LASSO-TE,0.06837606837606838,0.23529411764705882,0.04,0.050505050505050504,0.008585858585858586,100,120,0,1.2
OLS-TE,0.17823639774859287,0.16784452296819788,0.19,0.050505050505050504,0.05717171717171717,100,120,0,1.2
LASSO-TE,0.08411214953271028,0.19014084507042253,0.054,0.050505050505050504,0.014343434343434344,100,120,1,1.2
OLS-TE,0.18009478672985782,0.17117117117117117,0.19,0.050505050505050504,0.05606060606060606,100,120,1,1.2
LASSO-TE,0.07679465776293823,0.23232323232323232,0.046,0.050505050505050504,0.01,100,120,2,1.2
OLS-TE,0.2029520295202952,0.18835616438356165,0.22,0.050505050505050504,0.05898989898989899,100,120,2,1.2
LASSO-TE,0.06060606060606061,0.2786885245901639,0.034,0.050505050505050504,0.006161616161616161,100,120,3,1.2
OLS-TE,0.18269230769230768,0.17592592592592593,0.19,0.050505050505050504,0.05454545454545454,100,120,3,1.2
LASSO-TE,0.06631762652705062,0.2602739726027397,0.038,0.050505050505050504,0.0073737373737373735,100,120,4,1.2
OLS-TE,0.17675312199807877,0.17005545286506468,0.184,0.050505050505050504,0.054646464646464644,100,120,4,1.2
LASSO-TE,0.05235602094240838,0.2054794520547945,0.03,0.050505050505050504,0.0073737373737373735,100,120,5,1.2
OLS-TE,0.17208413001912046,0.16483516483516483,0.18,0.050505050505050504,0.05515151515151515,100,120,5,1.2
LASSO-TE,0.04693140794223827,0.24074074074074073,0.026,0.050505050505050504,0.005454545454545455,100,120,6,1.2
OLS-TE,0.16792452830188678,0.15892857142857142,0.178,0.050505050505050504,0.05656565656565657,100,120,6,1.2
LASSO-TE,0.09256198347107437,0.26666666666666666,0.056,0.050505050505050504,0.010606060606060607,100,120,7,1.2
OLS-TE,0.19889502762430938,0.18430034129692832,0.216,0.050505050505050504,0.05919191919191919,100,120,7,1.2
LASSO-TE,0.0677361853832442,0.3114754098360656,0.038,0.050505050505050504,0.006161616161616161,100,120,8,1.2
OLS-TE,0.15033301617507136,0.14337568058076225,0.158,0.050505050505050504,0.055656565656565654,100,120,8,1.2
LASSO-TE,0.05090909090909091,0.28,0.028,0.050505050505050504,0.005050505050505051,100,120,9,1.2
OLS-TE,0.18439716312056736,0.1868583162217659,0.182,0.050505050505050504,0.04919191919191919,100,120,9,1.2
LASSO-TE,0.10237659963436929,0.5957446808510638,0.056,0.050505050505050504,0.004747474747474748,100,250,0,2.5
OLS-TE,0.32447817836812143,0.30866425992779783,0.342,0.050505050505050504,0.05595959595959596,100,250,0,2.5
LASSO-TE,0.07879924953095685,0.6363636363636364,0.042,0.050505050505050504,0.0033333333333333335,100,250,1,2.5
OLS-TE,0.3290267011197244,0.28895612708018154,0.382,0.050505050505050504,0.06676767676767677,100,250,1,2.5
LASSO-TE,0.11029411764705882,0.6818181818181818,0.06,0.050505050505050504,0.0044444444444444444,100,250,2,2.5
OLS-TE,0.3231597845601436,0.2931596091205212,0.36,0.050505050505050504,0.06202020202020202,100,250,2,2.5
LASSO-TE,0.0898876404494382,0.7058823529411765,0.048,0.050505050505050504,0.0034343434343434343,100,250,3,2.5
OLS-TE,0.33362598770851626,0.297339593114241,0.38,0.050505050505050504,0.06454545454545454,100,250,3,2.5
LASSO-TE,0.1386861313868613,0.7916666666666666,0.076,0.050505050505050504,0.0048484848484848485,100,250,4,2.5
OLS-TE,0.2964912280701754,0.2640625,0.338,0.050505050505050504,0.06464646464646465,100,250,4,2.5
LASSO-TE,0.09242144177449169,0.6097560975609756,0.05,0.050505050505050504,0.004141414141414141,100,250,5,2.5
OLS-TE,0.30929626411815814,0.27342549923195086,0.356,0.050505050505050504,0.06575757575757575,100,250,5,2.5
LASSO-TE,0.09293680297397769,0.6578947368421053,0.05,0.050505050505050504,0.0038383838383838384,100,250,6,2.5
OLS-TE,0.31175934366453967,0.2864321608040201,0.342,0.050505050505050504,0.0603030303030303,100,250,6,2.5
LASSO-TE,0.07604562737642585,0.7692307692307693,0.04,0.050505050505050504,0.0026262626262626263,100,250,7,2.5
OLS-TE,0.31569506726457397,0.2861788617886179,0.352,0.050505050505050504,0.06212121212121212,100,250,7,2.5
LASSO-TE,0.0683111954459203,0.6666666666666666,0.036,0.050505050505050504,0.0027272727272727275,100,250,8,2.5
OLS-TE,0.3132969034608379,0.28762541806020064,0.344,0.050505050505050504,0.060404040404040404,100,250,8,2.5
LASSO-TE,0.11481481481481481,0.775,0.062,0.050505050505050504,0.00404040404040404,100,250,9,2.5
OLS-TE,0.3048458149779736,0.27244094488188975,0.346,0.050505050505050504,0.06414141414141414,100,250,9,2.5
LASSO-TE,0.2671118530884808,0.8080808080808081,0.16,0.050505050505050504,0.01,100,500,0,5.0
OLS-TE,0.4467741935483871,0.37432432432432433,0.554,0.050505050505050504,0.07474747474747474,100,500,0,5.0
LASSO-TE,0.2452504317789292,0.8987341772151899,0.142,0.050505050505050504,0.00797979797979798,100,500,1,5.0
OLS-TE,0.4582995951417004,0.38503401360544215,0.566,0.050505050505050504,0.07424242424242425,100,500,1,5.0
LASSO-TE,0.26218487394957984,0.8210526315789474,0.156,0.050505050505050504,0.009595959595959595,100,500,2,5.0
OLS-TE,0.47611064543168485,0.4098124098124098,0.568,0.050505050505050504,0.07,100,500,2,5.0
LASSO-TE,0.29042904290429045,0.8301886792452831,0.176,0.050505050505050504,0.010707070707070707,100,500,3,5.0
OLS-TE,0.45262333594361787,0.37194337194337196,0.578,0.050505050505050504,0.07848484848484849,100,500,3,5.0
LASSO-TE,0.2838063439065108,0.8585858585858586,0.17,0.050505050505050504,0.01,100,500,4,5.0
OLS-TE,0.4834123222748815,0.39947780678851175,0.612,0.050505050505050504,0.07737373737373737,100,500,4,5.0
LASSO-TE,0.2668918918918919,0.8586956521739131,0.158,0.050505050505050504,0.009292929292929294,100,500,5,5.0
OLS-TE,0.4666130329847144,0.39030955585464333,0.58,0.050505050505050504,0.07505050505050505,100,500,5,5.0
LASSO-TE,0.22876949740034663,0.8571428571428571,0.132,0.050505050505050504,0.0077777777777777776,100,500,6,5.0
OLS-TE,0.43657331136738053,0.3711484593837535,0.53,0.050505050505050504,0.07212121212121213,100,500,6,5.0
LASSO-TE,0.26800670016750416,0.8247422680412371,0.16,0.050505050505050504,0.009797979797979799,100,500,7,5.0
OLS-TE,0.44692737430167595,0.37184594953519257,0.56,0.050505050505050504,0.07606060606060606,100,500,7,5.0
LASSO-TE,0.28187919463087246,0.875,0.168,0.050505050505050504,0.009696969696969697,100,500,8,5.0
OLS-TE,0.476038338658147,0.3962765957446808,0.596,0.050505050505050504,0.07595959595959596,100,500,8,5.0
LASSO-TE,0.23208191126279865,0.7906976744186046,0.136,0.050505050505050504,0.008686868686868687,100,500,9,5.0
OLS-TE,0.4590443686006826,0.40029761904761907,0.538,0.050505050505050504,0.06787878787878789,100,500,9,5.0
